File	Terminals	Reading time (s)	Encoding time (s)	Total time (s)	Current memory (KB)	Peak memory (KB)
2663.newick	20	0.0011341571807861328	0.11156821250915527	0.11270332336425781	14.158	27.219
4132.newick	14	0.0010807514190673828	0.0842885971069336	0.08537101745605469	7.062	17.339
2418.newick	20	0.0025987625122070312	0.16640114784240723	0.16900086402893066	11.911	23.816
2941.newick	20	0.0012040138244628906	0.08602190017700195	0.08722686767578125	10.602	22.863
1682.newick	20	0.001186370849609375	0.054192543029785156	0.05537986755371094	8.308	19.253
4519.newick	6	0.0011179447174072266	0.011181116104125977	0.012300968170166016	4.408	14.808
1746.newick	20	0.002756357192993164	0.16728639602661133	0.17004609107971191	13.398	26.915
3370.newick	20	0.0024938583374023438	0.13615012168884277	0.13864660263061523	12.474	24.505
2945.newick	20	0.0019011497497558594	0.13544607162475586	0.13735318183898926	9.89	21.27
3240.newick	20	0.002557992935180664	0.136627197265625	0.13918852806091309	12.6	24.002
2821.newick	20	0.0027849674224853516	0.15270066261291504	0.1554887294769287	11.928	24.52
3292.newick	20	0.0029141902923583984	0.15971612930297852	0.16263389587402344	12.712	24.896
3258.newick	20	0.0017690658569335938	0.10884881019592285	0.11061859130859375	12.328	23.998
3684.newick	19	0.0012316703796386719	0.09337639808654785	0.09460878372192383	10.852	22.413
1231.newick	21	0.0012199878692626953	0.06549334526062012	0.06671404838562012	12.161	24.838
3936.newick	18	0.0011682510375976562	0.08370375633239746	0.08487558364868164	10.346	21.962
4465.newick	7	0.001520395278930664	0.011091470718383789	0.012612342834472656	4.463	14.92
4701.newick	4	0.0008752346038818359	0.003270387649536133	0.004146099090576172	2.837	14.21
2793.newick	20	0.001130819320678711	0.07987236976623535	0.08100390434265137	12.52	24.263
3106.newick	20	0.0012104511260986328	0.0985879898071289	0.09979915618896484	12.193	23.857
1367.newick	21	0.0012707710266113281	0.11556029319763184	0.11683177947998047	12.693	26.043
2766.newick	20	0.001210927963256836	0.10046935081481934	0.10168123245239258	12.928	24.632
722.newick	25	0.0013184547424316406	0.12279391288757324	0.12411308288574219	16.481	30.718
648.newick	26	0.0013091564178466797	0.1296696662902832	0.1309800148010254	17.884	32.011
1260.newick	21	0.0014715194702148438	0.10887932777404785	0.1103520393371582	12.42	25.111
